"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: MolGen LogicalModel FHIR Mapping"
"LogicalModelMolGen","LogicalModelMolGen","","","",0,*,"","","","null {[]} {[]}
"LogicalModelMolGen.Anforderung.id","LogicalModelMolGen.Anforderung.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"LogicalModelMolGen.Anforderung.extension","LogicalModelMolGen.Anforderung.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"LogicalModelMolGen.Anforderung.modifierExtension","LogicalModelMolGen.Anforderung.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"LogicalModelMolGen.Anforderung.Indikation","LogicalModelMolGen.Anforderung.Indikation","","","",0,*,"","","","BackboneElement {[]} {[]}
","Indikation","Indikation","","","","","","","","","",,,,,"",,,,"LogicalModelMolGen.Anforderung.Indikation",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"LogicalModelMolGen.Anforderung.Indikation.id","LogicalModelMolGen.Anforderung.Indikation.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"LogicalModelMolGen.Anforderung.Indikation.extension","LogicalModelMolGen.Anforderung.Indikation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"LogicalModelMolGen.Anforderung.Indikation.modifierExtension","LogicalModelMolGen.Anforderung.Indikation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"LogicalModelMolGen.Anforderung.Indikation.Indikation","LogicalModelMolGen.Anforderung.Indikation.Indikation","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Indikation","Indikation; (mögliche) Erkrankung Terminologien: ICD-10, SNOMED, Orpha, HPO - Bsp.: Verdacht auf… / Ausschluss von… / Mögliche Therapie für ...","","","","","","","","","",,,,,"",,,,"LogicalModelMolGen.Anforderung.Indikation.Indikation",0,*,"","","ServiceRequest.reasonCode","ServiceRequest.reasonReference"
"LogicalModelMolGen.Anforderung.Indikation.Gesundheitszustand","LogicalModelMolGen.Anforderung.Indikation.Gesundheitszustand","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Condition]]}
","Gesundheitszustand","Aktueller Gesundheitszustand; Angabe aktueller Beschwerden oder nachgewiesener Erkrankung - Terminologie: HPO","","","","","","","","","",,,,,"",,,,"LogicalModelMolGen.Anforderung.Indikation.Gesundheitszustand",0,*,"","","ServiceRequest.supportingInfo"
"LogicalModelMolGen.Anforderung.Indikation.KrankengeschichteFamilie","LogicalModelMolGen.Anforderung.Indikation.KrankengeschichteFamilie","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/FamilyMemberHistory]]}
","Krankengeschichte Familie","Krankengeschichte Familie","","","","","","","","","",,,,,"",,,,"LogicalModelMolGen.Anforderung.Indikation.KrankengeschichteFamilie",0,*,"","","FamilyMemberHistory"
"LogicalModelMolGen.Anforderung.Indikation.Anlagetraeger","LogicalModelMolGen.Anforderung.Indikation.Anlagetraeger","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/FamilyMemberHistory], CanonicalType[http://hl7.org/fhir/StructureDefinition/Condition], CanonicalType[http://hl7.org/fhir/StructureDefinition/Observation]]}
","Anlageträger","Anlageträgerstatus der Familie - Ist gefordert wenn Verwandte des Index-Falles ebenfalls sequenziert wurden - Terminologie: PED","","","","","","","","","",,,,,"",,,,"LogicalModelMolGen.Anforderung.Indikation.Anlagetraeger",0,*,"","","FamilyMemberHistory","Condition","Observation"
"LogicalModelMolGen.Anforderung.Indikation.RelevanteVorergebnisse","LogicalModelMolGen.Anforderung.Indikation.RelevanteVorergebnisse","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Condition], CanonicalType[http://hl7.org/fhir/StructureDefinition/Observation], CanonicalType[http://hl7.org/fhir/StructureDefinition/DiagnosticReport], CanonicalType[http://hl7.org/fhir/StructureDefinition/DocumentReference]]}
","Relevante Vorergebnisse","Angabe zuvor durchgeführter relevanter Tests (inklusive z.B. Methode, getestete Gene, und Ergebnisse)","","","","","","","","","",,,,,"",,,,"LogicalModelMolGen.Anforderung.Indikation.RelevanteVorergebnisse",0,*,"","","Condition","Observation","DiagnosticReport","DocumentReference"
"LogicalModelMolGen.Anforderung.Anforderer","LogicalModelMolGen.Anforderung.Anforderer","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole], CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization], CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient], CanonicalType[http://hl7.org/fhir/StructureDefinition/RelatedPerson], CanonicalType[http://hl7.org/fhir/StructureDefinition/Device]]}
","Anforderer","Informationen zur Person, die die molekulargenetischen Untersuchungen in Auftrag gibt","","","","","","","","","",,,,,"",,,,"LogicalModelMolGen.Anforderung.Anforderer",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ref-1:SHALL have a contained resource if a local reference is provided {reference.startsWith('#').not() or (reference.substring(1).trace('url') in %rootResource.contained.id.trace('ids'))}","Practitioner","PractitionerRole","Organization"
"LogicalModelMolGen.Anforderung.Anforderer.id","LogicalModelMolGen.Anforderung.Anforderer.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"LogicalModelMolGen.Anforderung.Anforderer.extension","LogicalModelMolGen.Anforderung.Anforderer.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"LogicalModelMolGen.Anforderung.Anforderer.reference","LogicalModelMolGen.Anforderung.Anforderer.reference","","","",0,1,"","","Y","string {[]} {[]}
","Literal reference, Relative, internal or absolute URL","A reference to a location at which the other resource is found. The reference may be a relative reference, in which case it is relative to the service base URL, or an absolute URL that resolves to the location where the resource is found. The reference may be version specific or not. If the reference is not to a FHIR RESTful server, then it should be assumed to be version specific. Internal fragment references (start with '#') refer to contained resources.","Using absolute URLs provides a stable scalable approach suitable for a cloud/web context, while using relative/logical references provides a flexible approach suitable for use when trading across closed eco-system boundaries.   Absolute URLs do not need to point to a FHIR RESTful server, though this is the preferred approach. If the URL conforms to the structure ""/[type]/[id]"" then it should be assumed that the reference is to a FHIR RESTful server.","","","","","","","","",,,,,"",,,,"Reference.reference",0,1,"ref-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"LogicalModelMolGen.Anforderung.Anforderer.type","LogicalModelMolGen.Anforderung.Anforderer.type","","","",0,1,"","","Y","uri {[]} {[]}
","Type the reference refers to (e.g. ""Patient"")","The expected type of the target of the reference. If both Reference.type and Reference.reference are populated and Reference.reference is a FHIR URL, both SHALL be consistent.

The type is the Canonical URL of Resource Definition that is the type this reference refers to. References are URLs that are relative to http://hl7.org/fhir/StructureDefinition/ e.g. ""Patient"" is a reference to http://hl7.org/fhir/StructureDefinition/Patient. Absolute URLs are only allowed for logical models (and can only be used in references in logical models, not resources).","This element is used to indicate the type of  the target of the reference. This may be used which ever of the other elements are populated (or not). In some cases, the type of the target may be determined by inspection of the reference (e.g. a RESTful URL) or by resolving the target of the reference; if both the type and a reference is provided, the reference SHALL resolve to a resource of the same type as that specified.","","","","","","","","",,"extensible","Aa resource (or, for logical models, the URI of the logical model).","http://hl7.org/fhir/ValueSet/resource-types|4.0.1","",,,,"Reference.type",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"LogicalModelMolGen.Anforderung.Anforderer.identifier","LogicalModelMolGen.Anforderung.Anforderer.identifier","","","",0,1,"","","Y","Identifier {[]} {[]}
","Logical reference, when literal reference is not known","An identifier for the target resource. This is used when there is no way to reference the other resource directly, either because the entity it represents is not available through a FHIR server, or because there is no way for the author of the resource to convert a known identifier to an actual location. There is no requirement that a Reference.identifier point to something that is actually exposed as a FHIR instance, but it SHALL point to a business concept that would be expected to be exposed as a FHIR instance, and that instance would need to be of a FHIR resource type allowed by the reference.","When an identifier is provided in place of a reference, any system processing the reference will only be able to resolve the identifier to a reference if it understands the business context in which the identifier is used. Sometimes this is global (e.g. a national identifier) but often it is not. For this reason, none of the useful mechanisms described for working with references (e.g. chaining, includes) are possible, nor should servers be expected to be able resolve the reference. Servers may accept an identifier based reference untouched, resolve it, and/or reject it - see CapabilityStatement.rest.resource.referencePolicy. 

When both an identifier and a literal reference are provided, the literal reference is preferred. Applications processing the resource are allowed - but not required - to check that the identifier matches the literal reference

Applications converting a logical reference to a literal reference may choose to leave the logical reference present, or remove it.

Reference is intended to point to a structure that can potentially be expressed as a FHIR resource, though there is no need for it to exist as an actual FHIR resource instance - except in as much as an application wishes to actual find the target of the reference. The content referred to be the identifier must meet the logical constraints implied by any limitations on what resource types are permitted for the reference.  For example, it would not be legitimate to send the identifier for a drug prescription if the type were Reference(Observation|DiagnosticReport).  One of the use-cases for Reference.identifier is the situation where no FHIR representation exists (where the type is Reference (Any).","","","","","","","","",,,,,"",,,,"Reference.identifier",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"LogicalModelMolGen.Anforderung.Anforderer.display","LogicalModelMolGen.Anforderung.Anforderer.display","","","",0,1,"","","Y","string {[]} {[]}
","Text alternative for the resource","Plain text narrative that identifies the resource in addition to the resource reference.","This is generally not the same as the Resource.text of the referenced resource.  The purpose is to identify what's being referenced, not to fully describe it.","","","","","","","","",,,,,"",,,,"Reference.display",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"LogicalModelMolGen.Anforderung.Anforderer.ZuTestendeGene","LogicalModelMolGen.Anforderung.Anforderer.ZuTestendeGene","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Zu testende Gene","Angabe der zu testenden Gene","","","","","","","","","",,,,,"",,,,"LogicalModelMolGen.Anforderung.Anforderer.ZuTestendeGene",0,*,"","","ServiceRequest.code"
"LogicalModelMolGen.Anforderung.Anforderer.EinheitlicherBewertungsmassstab","LogicalModelMolGen.Anforderung.Anforderer.EinheitlicherBewertungsmassstab","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/ChargeItem]]}
","Einheitlicher Bewertungsmaßstab","Der Einheitliche Bewertungsmaßstab definiert den Inhalt der abrechnungsfähigen vertragsärztlichen Leistungen Einheitlicher Bewertungsmaßstab (EBM): Angabe der Ziffern","","","","","","","","","",,,,,"",,,,"LogicalModelMolGen.Anforderung.Anforderer.EinheitlicherBewertungsmassstab",0,*,"","","ChargeItem"
"LogicalModelMolGen.Anforderung.Anforderer.Anforderungstext","LogicalModelMolGen.Anforderung.Anforderer.Anforderungstext","","","",0,1,"","","","string {[]} {[]}
","Anforderungstext","Freitext für die Angabe von entweder originaler, unveränderter Anforderungstext, oder alternativ: zusätzliche Anforderungen oder angeforderter Test","","","","","","","","","",,,,,"",,,,"LogicalModelMolGen.Anforderung.Anforderer.Anforderungstext",0,1,"","","ServiceRequest.code.text"
"LogicalModelMolGen.Anforderung.DatumDerAnforderung","LogicalModelMolGen.Anforderung.DatumDerAnforderung","","","",0,1,"","","","dateTime {[]} {[]}
","Datum der Anforderung","Angabe des Datums der Anforderung","","","","","","","","","",,,,,"",,,,"LogicalModelMolGen.Anforderung.DatumDerAnforderung",0,1,"","","ServiceRequest.authoredOn"
"LogicalModelMolGen.Anforderung.Bemerkungen","LogicalModelMolGen.Anforderung.Bemerkungen","","","",0,1,"","","","Annotation {[]} {[]}
","Bemerkungen","Bemerkungen","","","","","","","","","",,,,,"",,,,"LogicalModelMolGen.Anforderung.Bemerkungen",0,1,"","","ServiceRequest.note"
"LogicalModelMolGen.Methoden","LogicalModelMolGen.Methoden","","","",0,*,"","","","BackboneElement {[]} {[]}
","Methoden","Methoden","","","","","","","","","",,,,,"",,,,"LogicalModelMolGen.Methoden",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"LogicalModelMolGen.Methoden.id","LogicalModelMolGen.Methoden.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"LogicalModelMolGen.Methoden.extension","LogicalModelMolGen.Methoden.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"LogicalModelMolGen.Methoden.modifierExtension","LogicalModelMolGen.Methoden.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"LogicalModelMolGen.Methoden.Methode","LogicalModelMolGen.Methoden.Methode","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Methode","Methode und Referenz zur Methode - beinhaltet alle sequenzbasierenden Analytik-Methoden, während nicht sequenzbasierende Aufarbeitungsmethoden in das Modul Pathologie zuzuordnen sind.","","","","","","","","","",,,,,"",,,,"LogicalModelMolGen.Methoden.Methode",0,1,"","","Observation.method"
"LogicalModelMolGen.Methoden.RelevanteParameter","LogicalModelMolGen.Methoden.RelevanteParameter","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Observation], CanonicalType[http://hl7.org/fhir/StructureDefinition/DocumentReference]]}
","Relevante Parameter","Relevante Parameter (Angabe von Primer / Zyklenanzahl, Panel)","","","","","","","","","",,,,,"",,,,"LogicalModelMolGen.Methoden.RelevanteParameter",0,*,"","","Observation","DocumentReference"
"LogicalModelMolGen.Methoden.GeraeteSoftwareKits","LogicalModelMolGen.Methoden.GeraeteSoftwareKits","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Device]]}
","Geräte / Software / Kits","Angaben verwendeter Geräte / Software / Kits inklusive Target enrichment für die Analyse (u.U. Angabe von  Hersteller; Versionsnummer)","","","","","","","","","",,,,,"",,,,"LogicalModelMolGen.Methoden.GeraeteSoftwareKits",0,1,"","","Device"
"LogicalModelMolGen.Methoden.GetesteteGene","LogicalModelMolGen.Methoden.GetesteteGene","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Getestete Gene","Angabe der getesteten Gene","","","","","","","","","",,,,,"",,,,"LogicalModelMolGen.Methoden.GetesteteGene",0,*,"","","Observation.component:gene-studied"
"LogicalModelMolGen.Methoden.Referenzsequenz","LogicalModelMolGen.Methoden.Referenzsequenz","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Referenzsequenz","Transkript Referenzsequenz (Ensembl und RefSeq)","","","","","","","","","",,,,,"",,,,"LogicalModelMolGen.Methoden.Referenzsequenz",0,1,"","","Observation.component:transcript-ref-seq"
"LogicalModelMolGen.Methoden.ReadDepthCoverage","LogicalModelMolGen.Methoden.ReadDepthCoverage","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Read depth/Coverage","Anzahl der Ablesungen eines bestimmten Nukleotids im Genom in einem Experiment","","","","","","","","","",,,,,"",,,,"LogicalModelMolGen.Methoden.ReadDepthCoverage",0,1,"","","Observation.component:allelic-read-depth"
"LogicalModelMolGen.Methoden.IntronSpanningIVS","LogicalModelMolGen.Methoden.IntronSpanningIVS","","","",0,*,"","","","string {[]} {[]}
","Intron spanning / IVS","Intron spanning  oder  IVS (InterVening Sequence, z.B. Introns)","","","","","","","","","",,,,,"",,,,"LogicalModelMolGen.Methoden.IntronSpanningIVS",0,*,"","","Observation.component:dna-region"
